Cluster,Ray
Ptr01,0.124310932
Ptr01,0.114746922
Ptr01,0.187223932
Ptr01,0.207439809
Ptr01,0.216721818
Ptr01,0.127228416
Ptr01,0.180359618
Ptr01,0.229977088
Ptr01,0.202818884
Ptr01,0.206565693
Ptr01,0.21295847
Ptr01,0.21095102
Ptr01,0.23399819
Ptr01,0.162247672
Ptr01,0.1959039
Ptr01,0.090202465
Ptr01,0.232721949
Ptr01,0.163940698
Ptr01,0.171931676
Ptr01,0.171452947
Ptr01,0.18908753
Ptr01,0.097486689
Ptr01,0.144760543
Ptr01,0.139956915
Ptr01,0.232665976
Ptr01,0.180662847
Ptr01,0.156585784
Ptr01,0.222162758
Ptr01,0.137586709
Ptr01,0.143743049
Ptr01,0.162110488
Ptr01,0.130430599
Ptr01,0.173401207
Ptr01,0.141905813
Ptr01,0.220982521
Ptr01,0.15283645
Ptr01,0.132921095
Ptr01,0.204839428
Ptr01,0.336673899
Ptr01,0.14415434
Ptr01,0.095618366
Ptr01,0.151042281
Ptr01,0.224469077
Ptr01,0.24553267
Ptr01,0.182883349
Ptr01,0.152171302
Ptr01,0.179717227
Ptr01,0.258474844
Ptr01,0.150100236
Ptr01,0.13924977
Ptr01,0.15608019
Ptr01,0.1153341
Ptr01,0.251524937
Ptr01,0.231811695
Ptr01,0.201185622
Ptr01,0.138398872
Ptr01,0.199737257
Ptr01,0.064789016
Ptr01,0.193249384
Ptr01,0.255465014
Ptr01,0.170554769
Ptr01,0.23154356
Ptr01,0.196059519
Ptr01,0.11541181
Ptr01,0.161358428
Ptr01,0.126485321
Ptr01,0.17026954
Ptr01,0.185002202
Ptr01,0.134150559
Ptr01,0.130411534
Ptr01,0.182340103
Ptr01,0.156457698
Ptr01,0.172943814
Ptr01,0.174008801
Ptr01,0.260448274
Ptr01,0.147813001
Ptr01,0.192553469
Ptr01,0.159954775
Ptr01,0.116720699
Ptr01,0.176797251
Ptr01,0.103131053
Ptr01,0.09093609
Ptr01,0.16162043
Ptr01,0.175747266
Ptr01,0.211000182
Ptr01,0.15151157
Ptr01,0.157880606
Ptr01,0.124628198
Ptr01,0.213038314
Ptr01,0.25598937
Ptr01,0.182906742
Ptr01,0.164935768
Ptr01,0.12574906
Ptr01,0.202284866
Ptr01,0.322054119
Ptr01,0.172988035
Ptr01,0.164826989
Ptr01,0.181035033
Ptr01,0.147629262
Ptr01,0.12742534
Ptr01,0.19465307
Ptr01,0.220071028
Ptr01,0.126420866
Ptr01,0.091694268
Ptr01,0.150261417
Ptr01,0.219399708
Ptr01,0.086701661
Ptr01,0.150391287
Ptr01,0.164761818
Ptr01,0.249803795
Ptr01,0.126606432
Ptr01,0.173344118
Ptr01,0.221574588
Ptr01,0.171152514
Ptr01,0.162104572
Ptr01,0.218784776
Ptr01,0.136202101
Ptr01,0.103945578
Ptr01,0.211022615
Ptr01,0.303152647
Ptr01,0.177185917
Ptr01,0.244219313
Ptr01,0.18396941
Ptr01,0.166226749
Ptr01,0.088235145
Ptr01,0.11363983
Ptr01,0.19215341
Ptr01,0.216172394
Ptr01,0.201218957
Ptr01,0.121047205
Ptr01,0.249238504
Ptr01,0.217157114
Ptr01,0.26971232
Ptr01,0.212646444
Ptr01,0.238681393
Ptr01,0.136630473
Ptr01,0.078938746
Ptr01,0.146549759
Ptr01,0.236298168
Ptr01,0.190440984
Ptr01,0.271927462
Ptr01,0.211012882
Ptr01,0.150572647
Ptr01,0.138602049
Ptr01,0.179289051
Ptr01,0.137178056
Ptr01,0.222199546
Ptr01,0.100910232
Ptr01,0.187924253
Ptr01,0.098525046
Ptr01,0.235738962
Ptr01,0.216345713
Ptr01,0.175984666
Ptr01,0.182792972
Ptr01,0.19587318
Ptr01,0.218705049
Ptr01,0.226806183
Ptr01,0.229599637
Ptr01,0.252455426
Ptr01,0.147596546
Ptr01,0.099061905
Ptr01,0.152485054
Ptr01,0.134683935
Ptr01,0.189393203
Ptr01,0.199917389
Ptr01,0.213791956
Ptr01,0.256920825
Ptr01,0.343772805
Ptr01,0.123266668
Ptr01,0.244857039
Ptr01,0.154720784
Ptr01,0.197542926
Ptr01,0.229126624
Ptr01,0.192854922
