Cluster,Vessel
Ptr01,0.17011421
Ptr01,0.216338055
Ptr01,0.291725261
Ptr01,0.280907668
Ptr01,0.209054534
Ptr01,0.170184669
Ptr01,0.145654453
Ptr01,0.185006123
Ptr01,0.249432796
Ptr01,0.178626748
Ptr01,0.29064376
Ptr01,0.255904062
Ptr01,0.188565479
Ptr01,0.2522749
Ptr01,0.21543355
Ptr01,0.168233829
Ptr01,0.168840433
Ptr01,0.125699574
Ptr01,0.309211727
Ptr01,0.245870107
Ptr01,0.258911854
Ptr01,0.208691511
Ptr01,0.287452354
Ptr01,0.249796392
Ptr01,0.263479395
Ptr01,0.219039717
Ptr01,0.27172494
Ptr01,0.236797563
Ptr01,0.230401703
Ptr01,0.333316856
Ptr01,0.194164593
Ptr01,0.222462529
Ptr01,0.217939347
Ptr01,0.226686228
Ptr01,0.274147454
Ptr01,0.259652084
Ptr01,0.218950448
Ptr01,0.250839546
Ptr01,0.231818732
Ptr01,0.227619433
Ptr01,0.263629938
Ptr01,0.284841506
Ptr01,0.175684579
Ptr01,0.142794963
Ptr01,0.214132819
Ptr01,0.146612927
Ptr01,0.268511339
Ptr01,0.187556995
Ptr02,0.136583773
Ptr02,0.253690754
Ptr02,0.249268214
Ptr02,0.207120494
Ptr02,0.235541822
Ptr02,0.226630923
Ptr02,0.143749624
Ptr02,0.228175261
Ptr02,0.19785037
Ptr02,0.235266089
Ptr02,0.261757255
Ptr02,0.225636138
Ptr02,0.142705165
Ptr02,0.18519883
Ptr02,0.091964157
Ptr02,0.214275908
Ptr02,0.121871061
Ptr02,0.278164615
Ptr02,0.226360537
Ptr02,0.131420618
Ptr02,0.193757814
Ptr02,0.223255809
