Cluster,Fiber
Ptr01,0.268037472
Ptr01,0.325203674
Ptr01,0.136456461
Ptr01,0.355205305
Ptr01,0.174751927
Ptr01,0.305888716
Ptr01,0.360841041
Ptr01,0.29413
Ptr01,0.335705271
Ptr01,0.313690337
Ptr01,0.362947128
Ptr01,0.316794895
Ptr01,0.327846229
Ptr01,0.343437835
Ptr01,0.19806427
Ptr01,0.145426577
Ptr01,0.254601089
Ptr01,0.187214058
Ptr01,0.238311516
Ptr01,0.264901063
Ptr01,0.400617884
Ptr01,0.416244492
Ptr01,0.288301216
Ptr01,0.174161623
Ptr01,0.39533581
Ptr01,0.230870666
Ptr01,0.274748768
Ptr01,0.372441631
Ptr01,0.262153377
Ptr01,0.333286862
Ptr01,0.272968146
Ptr01,0.162649151
Ptr01,0.249566462
Ptr01,0.139038517
Ptr01,0.188114538
Ptr01,0.256963421
Ptr01,0.297705261
Ptr01,0.287604019
Ptr01,0.217009083
Ptr01,0.212964129
Ptr01,0.277059208
Ptr01,0.295424967
Ptr01,0.215319169
Ptr01,0.207386264
Ptr01,0.224486547
Ptr01,0.298832198
Ptr01,0.325586614
Ptr01,0.236414469
Ptr01,0.230948333
Ptr01,0.339160849
Ptr01,0.34626968
Ptr01,0.164664295
Ptr01,0.202207537
Ptr01,0.250397864
Ptr01,0.299426443
Ptr01,0.257244456
Ptr01,0.339188977
Ptr01,0.134606052
Ptr01,0.136849183
Ptr01,0.190146804
Ptr01,0.340303878
Ptr01,0.334890189
Ptr01,0.248295092
Ptr01,0.212227123
Ptr01,0.152702956
Ptr01,0.20213903
Ptr01,0.359863576
Ptr01,0.153631619
Ptr01,0.324523383
Ptr01,0.309273537
Ptr01,0.180093805
Ptr01,0.32419864
Ptr01,0.234262741
Ptr01,0.199056047
Ptr01,0.186705723
Ptr01,0.154525277
Ptr01,0.407017175
Ptr01,0.32864381
Ptr01,0.323447689
Ptr01,0.205438587
Ptr01,0.324212757
Ptr01,0.380887684
Ptr01,0.239428859
Ptr01,0.246328164
Ptr01,0.337930638
Ptr01,0.260957304
Ptr01,0.210645409
Ptr01,0.232582219
Ptr01,0.225535506
Ptr01,0.244935667
Ptr01,0.298021359
Ptr01,0.241607573
Ptr01,0.293030497
Ptr01,0.288181812
Ptr01,0.222612825
Ptr01,0.235282616
Ptr01,0.313393702
Ptr01,0.267712954
Ptr01,0.286648779
Ptr01,0.366730535
Ptr01,0.195059036
Ptr01,0.148248085
Ptr01,0.305558467
Ptr01,0.15171603
Ptr01,0.330864367
Ptr01,0.224349873
Ptr02,0.18778704
Ptr02,0.311334946
Ptr02,0.289879276
Ptr02,0.250979435
Ptr02,0.289134222
Ptr02,0.297426531
Ptr02,0.200005524
Ptr02,0.274881131
Ptr02,0.249543517
Ptr02,0.28578939
Ptr02,0.314251948
Ptr02,0.302130703
Ptr02,0.219452563
Ptr02,0.235972218
Ptr02,0.12693411
Ptr02,0.268346473
Ptr02,0.203978167
Ptr02,0.287020306
Ptr02,0.39010086
Ptr02,0.20596777
Ptr02,0.258098732
Ptr02,0.272758541
