Cluster,Expansin A6
#08,2.384941612
#06,0.191926425
#06,0.609164569
#01,2.642115587
#01,1.127523752
#01,2.316174568
#03,0
#04,0.322796055
#05,0
#01,0.764526221
#05,0
#04,0.247984475
#06,0.260746229
#07,0
#03,0
#04,0
#07,0
#05,0
#04,0.899795018
#04,1.471473445
#03,0
#04,0.976769961
#03,0
#02,0
#06,0.23700017
#02,0
#02,0
#07,0
#03,0
#03,0.664183338
#04,0
#01,3.866150632
#02,0
#01,1.974834836
#02,0
#01,0
#01,1.050892651
#07,0
#02,0.547102572
#08,1.154610148
#04,0
#06,0
#06,0.750886788
#03,0
#01,3.137056048
#02,0
#02,0
#02,1.917764538
#03,0.578919043
#04,0.489920171
#02,0
#06,0.274346375
#08,1.063036662
#04,0
#02,0
#02,0
#04,0.959241241
#06,1.067907852
#07,0
#01,1.579691938
#01,2.162938571
#02,0
#01,1.552065749
#01,0
#04,0
#08,0
#02,0
#02,0
#03,0.342541939
#04,0
#07,0
#03,0
#05,0
#01,0
#03,0
#01,0.643499324
#07,0
#02,0
#03,0
#04,0.145571012
#05,0
#04,0
#04,2.900780906
#07,0
#04,2.603155617
#06,0
#06,0
#04,0
#01,0.979525883
#03,0
#01,0
#01,1.143995029
#01,2.4588416
#06,2.537627327
#03,2.625834782
#06,2.083976074
#03,0
#02,0
#02,0
#06,0
#06,1.66792437
#05,0
#01,0
#05,0
#05,0
#04,0
#01,0
#09,0.340713253
#02,0.320634907
#04,2.905640968
#01,2.577973169
#01,1.011681805
#01,1.122449448
#07,0
#01,0
#01,2.359586221
#07,0
#06,0.33751023
#02,0
#02,1.169925001
#03,0
#01,0.463700978
#01,0
#04,1.010943378
#06,1.452226154
#02,0
#03,0
#07,0
#07,0
#01,0.346468014
#01,0
#01,1.013903839
#02,0
#06,1.042720064
#06,0
#05,0
#07,0
#05,0
#06,0.767500265
#05,1.159340251
#02,0.971306114
#05,0
#03,0
#03,0
#03,0
#01,1.709355736
#01,1.194503024
#07,0
#02,0
#02,0.513339573
#06,1.710311246
#05,0.611891912
#07,0
#01,0
#05,0
#01,0
#01,0.905043032
#02,0
#04,0
#03,0
#03,0
#01,0
#03,0.298337633
#04,0
#05,0
#07,0
#02,0
#03,0.26341969
#02,0
#02,1.005076087
#05,0
#01,2.8815524
#02,0
#04,0
#05,0
#01,0.635432558
#06,0
#04,0.570201546
#03,0
#01,0
#04,1.341269817
#02,0.506600276
#06,0
#02,0
#06,1.501852375
#07,0
#01,0
#02,0
#02,0
#01,3.070540641
#01,1.353441838
#01,2.477235911
#06,0.204283965
#02,0
#07,0
#03,0.130863315
#02,0
#04,0
#05,0
#06,1.155040216
#04,0.759992036
#05,0
#01,0
#04,0.86850016
#02,0
#01,1.392875849
#01,2.688952265
#08,0.275898806
#06,0.754461619
#03,0.157673412
#03,0.157346353
#07,0
#03,0.182701736
#05,0.156000917
#01,0
#02,0
#07,0.794282261
#02,0
#04,0.355828502
#03,0
#04,0
#01,1.251698172
#01,2.960870228
#04,0
#04,1.471473445
#07,0
#03,0.457472766
#06,0
#02,0
#01,0
#01,1.006536259
#01,1.306371898
#04,1.555749519
#01,0
#04,0
#01,0.382074084
#01,1.000721889
#04,0
#01,0.801067991
#01,1.288654716
#01,0.914530658
#01,0.957919849
#06,0.442433566
#02,0
#04,0
#01,1.325400287
#01,0
#07,0
#06,1.560162615
#02,0
#05,0
#03,0
#01,1.513636054
#01,1.912641036
#03,0
#03,0
#01,2.032520578
#03,0
#01,0.988243191
#06,0.800535951
#01,0
#03,0
#02,0
#03,1.324530412
#01,0
#04,0
#03,0.541526428
#01,0
#01,0.939808538
#03,0.167184764
#05,0
#06,0
#05,0
#05,0
#01,1.70519875
#04,0.870751227
#03,0
#03,0
#07,0
#03,0
#03,0
#02,0
#01,1.277688101
#03,0
#01,1.627543414
#01,1.075058064
#03,0.362570079
#02,0
#02,0
#01,0
#07,0
#05,0
#06,0
#01,0
#03,0
#01,0
#03,1.259064273
#03,0
#01,1.058144042
#02,0.615602722
#01,0
#01,1.450539436
#02,0
#05,0
#02,0
#03,0
#03,0.170508083
#01,3.182820685
#08,2.224170001
#03,0
#07,0
#01,0
#07,0
#07,0
#04,2.583460788
#03,0.116786633
#05,1.60009629
