Cluster,Ray scUPlcmUP
#06,0.904068323
#01,0.664607997
#01,0
#07,1.412772776
#01,1.114700949
#02,0
#01,2.583280538
#04,0.740444764
#05,0.885851851
#08,4.683711113
#06,0.571874596
#03,2.045618411
#08,3.4328127
#06,1.082497428
#04,0.62011865
#06,3.249353545
#08,5
#05,0.567697965
#02,2.51212646
#07,0.767858743
#03,2.8413428
#06,1.963556661
#01,0.807973706
#04,5
#06,0.382379666
#02,0
#02,0
#01,1.517123172
#02,1.783663953
#02,3.191895064
#02,2.481966405
#04,0.849688401
#06,1.756526066
#05,1.913800855
#01,0
#03,3.043938873
#03,1.953495034
#02,0.910057875
#01,0.619089623
#02,0
#05,1.101060748
#06,0.859663576
#04,5
#01,0.677315351
#02,0.364596596
#07,1.190331212
#02,0
#01,0
#07,0.626737823
#06,0.519883521
#06,0.787833792
#02,1.199013332
#01,0.490930121
#01,0
#01,0
#02,4.897038451
#02,0
#03,2.445914585
#02,0.419411515
#02,1.501938635
#08,5
#05,0.863606056
#07,0
#03,1.677637137
#01,0
#02,0.395673712
#05,0.261030066
#04,0
#01,0.569383795
#08,5
#03,1.81347573
#03,2.623688656
#08,5
#04,0
#03,1.17666777
#01,0
#04,3.020332725
#03,1.341165853
#01,1.469329289
#07,0
#07,0
#02,0.277388689
#01,0
#05,0.755577395
#03,2.086274904
#04,1.296077969
#05,1.788253475
#03,3.073956207
#07,0
#02,0
#01,0.470876637
#07,0
#08,5
#01,0.931638445
#02,1.911311446
#03,2.395018682
#03,3.265606608
#01,0
#07,1.20053165
#07,0
#03,2.657882671
#01,1.04453349
#01,0
#02,1.048257825
#03,2.116505399
#08,5
#03,1.036772148
#01,0.977457431
#03,2.183597289
#01,1.281321492
#02,0
#01,0
#02,2.358587505
#02,0.926500879
#05,1.328336877
#03,2.356813561
#06,0.264242187
#05,1.127314935
#03,1.810711542
#05,0.557789604
#06,1.180480209
#05,0.569289778
#01,1.545664875
#01,0
#04,1.043978556
#03,0.834404903
#01,0
#01,0
#03,2.927472481
#05,0.352508038
#07,0
#05,1.322559781
#01,1.888844087
#08,5
#02,0.306479696
#01,2.741953758
#07,0
#06,1.009565371
#07,0
#05,0.554676557
#02,0.918390297
#07,0
#02,0.545532356
#01,0
#03,1.404676132
#04,1.371590623
#06,1.203372102
#08,4.030970115
#04,4.451576226
#05,1.158302848
#02,1.927479604
#05,0.7906335
#02,1.412262641
#01,0.659966929
#01,1.103064935
#03,0.722025783
#07,0
#01,1.437188458
#04,2.388346165
#06,1.221893826
#06,1.12511646
#07,0
#02,2.168383809
#07,0.347558331
#07,0.898288245
#05,2.141584266
#06,1.539434776
#01,2.714658263
#06,0.531516166
#02,1.57346563
#05,0.872832853
#05,0.935463468
#02,0
#07,0.85108619
#05,1.503946645
#02,3.287221037
#01,5
#02,1.432490863
#05,0.275265187
#06,1.14131708
#01,0
#04,4.112678771
#08,5
#01,1.398712209
#03,2.721023252
#02,0.856025208
#01,1.095157233
#06,0.607855907
#02,0.905392535
#02,0
#04,2.21066964
#03,2.532488221
#03,2.500410225
#05,2.879064122
