Cluster,HD ZIP III
#04,0
#04,0.307069003
#04,0
#05,0.489724572
#01,0.891755123
#07,0.858911701
#01,0
#06,1.529441344
#04,1.065089235
#02,0.407368278
#02,3.163357365
#02,1.492796064
#01,0
#03,3.666303615
#05,0.215438217
#02,0
#05,3.147323107
#01,1.076989386
#01,0.797434208
#06,2.289825985
#03,1.234611663
#02,1.085251108
#02,0
#01,0
#06,1.906944206
#01,1.917160145
#07,1.199761447
#07,0
#03,0.813730348
#10,0
#06,1.011497093
#05,1.114298885
#02,0.831409689
#05,0
#01,0.873617419
#02,0.603834512
#10,0
#06,1.258604614
#03,1.770328397
#02,1.083771671
#06,1.553347704
#03,1.049768033
#06,1.885557814
#07,0.301529145
#06,1.367247386
#05,0.671862596
#05,1.42440147
#02,0.977494371
#03,1.922266921
#02,0
#02,1.583664574
#02,0.741822011
#07,0
#02,0
#01,0
#02,0
#01,0
#01,0
#06,1.593256338
#04,0
#01,0
#01,1.04611574
#02,1.384577311
#01,0
#04,0
#06,2.212194273
#06,2.089005738
#02,0
#07,0
#04,0
#01,2.517348575
#02,0.692554808
#05,1.051908068
#01,0.8963311
#04,0.758356852
#05,0.45688839
#08,0.594768199
#05,0.552082369
#07,0
#06,2.237276722
#09,0.98837605
#03,1.835014284
#06,1.975008663
#03,1.841071567
#02,0.316120193
#04,0
#04,0.452784815
#07,0
#01,0.829834619
#02,0.355740316
#01,0
#06,1.744239471
#01,1.296998791
#04,0.29091241
#01,1.3663931
#03,1.127523752
#03,1.606345899
#04,0
#01,0.939808538
#03,1.98679022
#01,1.427171255
#01,1.424116793
#02,0.4269116
#01,0
#07,0
#01,1.276481841
#01,0
#01,0
#02,0.519316011
#04,0
#02,0.993195667
#02,0.961895395
#02,0
#03,1.012492788
#05,1.217239831
#02,0
#02,1.759226435
#02,0.456014644
#05,0.526112898
#03,1.299230909
#06,0.445824085
#01,1.557236495
#01,1.134052099
#04,0.636738598
#01,1.156615106
#02,0.612155464
#01,0
#01,0
#01,0
#02,0.59724083
#03,1.226463354
#06,1.441213727
#04,0.784977795
#04,0.947376754
#05,1.03464244
#06,1.414036392
#07,0
#04,1.650362009
#01,2.936420509
#05,1.632915967
#06,0.6142722
#09,2.07583012
#06,1.340407244
#06,2.7930335
#05,0
#07,0
#03,1.037184616
#01,2.464168552
#03,1.653173712
#06,0.896827354
#05,0.323887638
#07,0
#05,0
#03,2.213868709
#03,0.87195769
#01,0.57065854
#03,2.27926004
#02,0.923613953
#06,1.455474836
#01,0
#01,1.083089594
#04,0
#01,0
#01,0.857859752
#08,0.901537361
#01,0
#01,1.7926622
#04,0
#04,0
#02,1.835798758
#09,0.605265581
#03,1.225068087
#03,3.078910816
#07,0
#05,1.495329027
#03,1.849802216
#01,1.184130863
#04,0
#05,0.860201029
#01,1.564104442
#07,0
#01,0.529726736
#02,2.70497694
#03,2.162403147
#01,1.567855244
#03,1.493204332
#02,0.48133987
#04,0.731114416
#06,0
#02,1.75989751
#03,2.730511356
#01,0
#04,1.077159521
#07,0
#07,0.458499058
#02,0
#01,0.809835912
#01,1.02745247
#02,0.298090183
#02,0.822640022
#08,0
#02,0.604347842
#07,0
#01,1.086491597
#06,2.301748393
#07,0
#02,1.069429675
#01,1.382787334
#01,0.758356852
#04,0
#05,1.733821359
#04,0
#01,0
#04,2.237442449
#06,0.574186972
#01,0
#02,0.274634481
#01,0
#07,0
#04,2.243981049
#04,0
#05,0.861258602
#08,0.698710075
#02,1.730494228
#02,2.040488888
#05,1.206919772
#01,0.626461369
#03,0.79970135
#07,0.319565192
#03,1.559607203
#03,2.230098002
#01,0.835866977
#07,0.572724231
#01,0
#02,0
#01,1.626020223
#06,0.459087599
#01,0
#08,0.921782401
#03,2.678363664
#02,0.584722152
#08,0
#07,0.396439597
#02,1.448106304
#02,0.534891346
#02,0
#01,0
#04,0
#01,0
#02,0.529333632
#02,0.945766341
#02,1.351111532
#06,1.220198208
#04,1.016136056
#01,0
#05,2.058294367
#01,0
#06,1.006536259
#01,3.059884358
#08,1.307385537
#05,1.058274525
#03,1.534223701
#02,1.012311435
#02,0
#07,0.751486858
#03,2.793169494
#01,1.365853238
#02,0.498466888
#01,2.855504089
#06,2.819960061
#05,0.390501086
#06,1.740346806
#01,0.800611912
#04,0
#04,0.520832163
#05,0.435436664
#05,2.069310627
#08,1.99138687
#01,0
#01,1.084226888
#01,0.77632164
#04,0.271883189
#02,0.586892528
#01,0
#01,0.892894592
#03,1.276426977
#04,0.608447166
#06,1.912248408
#03,3.713764049
#05,1.283959325
#04,1.464962725
#07,0.708155058
#04,0.720048226
#03,0.731998684
#03,2.806084374
#07,0
#05,0.682560144
#01,0
#01,0.930394533
#02,0.307200269
#03,2.854568972
#01,0.959241241
#03,2.196204719
#01,1.515083911
#03,0.93955494
#03,1.451698612
#04,1.302894209
#01,0
#07,0.318714567
#03,1.313886775
#01,0
#02,0.490256354
#02,0.447689111
#02,0.421385465
#01,0.927916986
#07,0
#03,0.539299276
#04,1.231205444
#07,1.249092679
#05,1.488442106
#01,0
#01,0
#06,1.543911678
#01,1.4197424
#02,0.756322965
#01,0
#06,0
#07,0.895756454
#01,0
#01,0
#06,2.032977619
#01,0
#01,1.22569946
#07,0
#01,0
#02,0
#01,0.999279193
#04,0.740444764
#05,0.628095144
#08,0
#06,2.772199665
#03,1.304275519
#08,0.627409569
#06,1.027510488
#04,0.317955664
#06,2.052271722
#08,3.414325777
#05,0.804776202
#02,1.00800085
#07,0
#03,1.279693005
#06,2.278838702
#01,0
#04,0
#06,0.382379666
#02,0.40575364
#02,1.38038167
#01,0
#02,1.624193581
#02,1.496850218
#02,0
#04,0.373416131
#06,1.866998162
#05,2.237930958
#01,0.977457431
#03,1.88337479
#03,1.828210076
#02,0.525628361
#01,0.619089623
#02,2.977279923
#05,1.423165167
#06,1.708781186
#04,0
#01,1.354630702
#02,0.364596596
#07,0
#02,1.123314728
#01,0
#07,0
#06,1.849213418
#06,2.540992223
#02,0.599506666
#01,1.963720484
#01,0
#01,0
#02,0.601790009
#02,0
#03,1.801068431
#02,0.419411515
#02,1.103737189
#08,0
#05,0.863606056
#07,0
#03,1.250513163
#01,0
#02,0
#05,0.934588284
#04,3.091329751
#01,0.522357292
#08,0.832003091
#03,1.801633757
#03,2.38899936
#08,0.494498298
#04,1.459458504
#03,1.337964648
#01,0.644961778
#04,0
#03,1.751405406
#01,0
#07,0
#07,0
#02,0.554777379
#01,0
#05,0.531314447
#03,1.465492575
#04,0
#05,0.419247859
#03,0.852898991
#07,1.339931828
#02,0
#01,0.470876637
#07,1.078002512
#08,0
#01,0
#02,1.01923004
#03,2.311995492
#03,2.093968605
#01,0
#07,1.02289454
#07,0.545950188
#03,2.201991781
#01,1.04453349
#01,1.392875849
#02,0
#03,1.24096081
#08,0.462948651
#03,0.724967387
